program,ARRAY_SIZE,elapsed,user,instructions,cycles
asdf,5000,0.159930326,0.143906000,476978443,1069169100
asdf,5000,0.160122112,0.145224000,476638251,1069157020
asdf,5000,0.127528080,0.115556000,477736360,1068972456
asdf,10000,0.487853300,0.473425000,1951851612,4252216746
asdf,10000,0.480106495,0.466597000,1952801517,4252108216
asdf,10000,0.487267905,0.473717000,1950290129,4252203186
asdf,15000,1.101197667,1.088891000,4494854285,9549779648
asdf,15000,1.082110396,1.070141000,4449841339,9549622665
asdf,15000,1.078566927,1.066499000,4442731862,9549554877
asdf,20000,1.933352842,1.918846000,7972856454,17007303576
asdf,20000,1.928956772,1.916875000,7952027167,17007088498
asdf,20000,1.918663080,1.904432000,7946093504,17007101855
asdf,25000,3.003776120,2.991833000,12475906951,26584012562
asdf,25000,3.006411040,2.992772000,12467746360,26583434011
asdf,25000,3.019920333,3.007931000,12511704934,26583222226
asdf_merge,5000,0.015370741,0.003408000,11074033,15896692
asdf_merge,5000,0.014762198,0.002162000,11131558,15931968
asdf_merge,5000,0.015319478,0.002267000,11040184,15934923
asdf_merge,10000,0.018302150,0.005069000,18943533,29143012
asdf_merge,10000,0.018849097,0.005158000,18862514,29155558
asdf_merge,10000,0.019480664,0.006225000,19404870,29148250
asdf_merge,15000,0.019290581,0.007281000,27108451,42579047
asdf_merge,15000,0.034598408,0.020217000,27235476,42695544
asdf_merge,15000,0.018872232,0.006166000,27132801,42557496
asdf_merge,20000,0.027419321,0.013342000,35182072,56686217
asdf_merge,20000,0.024090875,0.010276000,35284573,56680530
asdf_merge,20000,0.023702617,0.011122000,35227814,56658465
asdf_merge,25000,0.026166625,0.010742000,44017716,70798906
asdf_merge,25000,0.026442287,0.014704000,43448860,70805738
asdf_merge,25000,0.028855132,0.016029000,43742174,70852855

program,MAX_VALUE,elapsed,user,instructions,cycles
asdf,50000,0.482947124,0.467903000,1951128484,4240356993
asdf,50000,0.485911062,0.473535000,1948452045,4240358505
asdf,50000,0.485154010,0.474100000,1948067597,4240380203
asdf,100000,0.485053359,0.471868000,1949944521,4252064241
asdf,100000,0.493735460,0.479877000,1972822808,4252167656
asdf,100000,0.494105320,0.481807000,1953980465,4252175191
asdf,150000,0.482237810,0.467086000,1954400971,4246119769
asdf,150000,0.487014623,0.473701000,1957033045,4245707279
asdf,150000,0.488984955,0.476069000,1952612107,4245831052
asdf,200000,0.484068831,0.471029000,1964176708,4269852977
asdf,200000,0.488394434,0.476459000,1964171608,4269856693
asdf,200000,0.485452746,0.471042000,1959165290,4269939050
asdf,250000,0.480186128,0.466198000,1944537723,4243788025
asdf,250000,0.490875638,0.476621000,1966103339,4243931409
asdf,250000,0.483001732,0.467986000,1945462798,4243825404
asdf_merge,50000,0.030096830,0.015575000,19084927,29238902
asdf_merge,50000,0.018364161,0.003936000,19612452,29156557
asdf_merge,50000,0.017731149,0.004228000,19048229,29131031
asdf_merge,100000,0.018274987,0.004664000,18966112,29129632
asdf_merge,100000,0.020920694,0.007625000,19001601,29173433
asdf_merge,100000,0.018837875,0.005225000,18954088,29134584
asdf_merge,150000,0.017947129,0.004776000,19031190,29170474
asdf_merge,150000,0.022258463,0.006691000,18878788,29170504
asdf_merge,150000,0.020920319,0.006872000,18899067,29183003
asdf_merge,200000,0.016698237,0.004959000,18951850,29149145
asdf_merge,200000,0.016659872,0.004599000,18979485,29139834
asdf_merge,200000,0.018510100,0.004455000,19053252,29202986
asdf_merge,250000,0.019037782,0.005582000,18888059,29124090
asdf_merge,250000,0.018373205,0.004995000,18975864,29149748
asdf_merge,250000,0.017659391,0.003479000,18973178,29120563
