name,gender,country,nationality,disciplines,events,age,has_a_coach,won_a_medal,medal_count
BLOHM Linn,Female,Sweden,Sweden,['Handball'],['Women'],32,Yes,No,0
HANSSON Linn,Female,Sweden,Sweden,['Handball'],['Women'],27,Yes,No,0
KOPPANG Nina,Female,Sweden,Sweden,['Handball'],['Women'],22,Yes,No,0
LOEFQVIST Olivia,Female,Sweden,Sweden,['Handball'],['Women'],26,Yes,No,0
HVENFELT Sofia,Female,Sweden,Sweden,['Handball'],['Women'],28,Yes,No,0
AXNER Tyra,Female,Sweden,Sweden,['Handball'],['Women'],22,Yes,No,0
HAGMAN Nathalie,Female,Sweden,Sweden,['Handball'],['Women'],33,Yes,No,0
GEORGIOU Marios,Male,Cyprus,Cyprus,['Artistic Gymnastics'],"['Men', ""Men's All-Around"", ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault""]",27,Yes,No,0
BOBOKULOVA Sabina,Female,Uzbekistan,Uzbekistan,['Boxing'],"[""Women's 50kg""]",21,No,No,0
UKTAMOVA Nigina,Female,Uzbekistan,Uzbekistan,['Boxing'],"[""Women's 54kg""]",21,Yes,No,0
TUGOLUKOVA Vera,Female,Cyprus,Cyprus,['Rhythmic Gymnastics'],['Individual All-Around'],16,Yes,No,0
TURDIBEKOVA Sitora,Female,Uzbekistan,Uzbekistan,['Boxing'],"[""Women's 57kg""]",22,Yes,No,0
DUBOVITSKAYA Nadezhda,Female,Kazakhstan,Kazakhstan,['Athletics'],"[""Women's High Jump""]",26,Yes,No,0
HIGGINS Eve,Female,Ireland,Ireland,['Rugby Sevens'],['Women'],25,Yes,No,0
MULHALL ROCK Lucy,Female,Ireland,Ireland,['Rugby Sevens'],['Women'],31,Yes,No,0
PARSONS Beibhinn,Female,Ireland,Ireland,['Rugby Sevens'],['Women'],23,Yes,No,0
HARRINGTON Kellie,Female,Ireland,Ireland,['Boxing'],"[""Women's 60kg""]",35,Yes,Yes,1
RIORDAN Erin,Female,Ireland,Ireland,['Swimming'],"[""Women's 4 x 100m Freestyle Relay"", 'Relay Only Athlete']",25,Yes,No,0
RYAN Shane,Male,Ireland,Ireland,['Swimming'],"[""Men's 4 x 100m Medley Relay"", ""Men's 50m Freestyle""]",30,Yes,No,0
CLARK Aoife,Female,Ireland,Ireland,['Equestrian'],"['Eventing Individual', 'Eventing Team']",43,No,No,0
