name,gender,country,nationality,disciplines,events,age,has_a_coach,won_a_medal,medal_count
ALEKSANYAN Artur,Male,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 97kg""]",33,Yes,Yes,1
AMOYAN Malkhas,Male,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 77kg""]",25,No,Yes,1
GALSTYAN Slavik,Male,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 67kg""]",28,Yes,No,0
HARUTYUNYAN Arsen,Male,Armenia,Armenia,['Wrestling'],"[""Men's Freestyle 57kg""]",25,Yes,No,0
TEVANYAN Vazgen,Male,Armenia,Armenia,['Wrestling'],"[""Men's Freestyle 65kg""]",25,Yes,No,0
ARENAS Lorena,Female,Colombia,Colombia,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",31,Yes,No,0
McKENZIE Ashley,Male,Jamaica,Jamaica,['Judo'],['Men -60 kg'],35,Yes,No,0
BASS BITTAYE Gina Mariam,Female,Gambia,Gambia,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",29,Yes,No,0
CAMARA Ebrahima,Male,Gambia,Gambia,['Athletics'],"[""Men's 100m""]",28,Yes,No,0
RUEDA SANTOS Lizeth,Female,Mexico,Mexico,['Triathlon'],"[""Women's Individual""]",30,Yes,No,0
TAPIA VIDAL Rosa Maria,Female,Mexico,Mexico,['Triathlon'],"[""Women's Individual""]",27,Yes,No,0
GRAJALES Crisanto,Male,Mexico,Mexico,['Triathlon'],"[""Men's Individual""]",37,Yes,No,0
MAAROUFOU Hachim,Male,Comoros,Comoros,['Athletics'],"[""Men's 100m""]",27,Yes,No,0
SAADI Maesha,Female,Comoros,Comoros,['Swimming'],"[""Women's 50m Freestyle""]",17,Yes,No,0
DIOSDADO Nuria,Female,Mexico,Mexico,['Artistic Swimming'],"['Team', 'Duet']",34,Yes,No,0
JIMENEZ Joana,Female,Mexico,Mexico,['Artistic Swimming'],"['Team', 'Duet']",31,Yes,No,0
SOBRINO Jessica,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],30,Yes,No,0
ALFEREZ Regina,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],27,Yes,No,0
ARELLANO Fernanda,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],22,Yes,No,0
TOSCANO Pamela,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],24,Yes,No,0
GONZALEZ Itzamary,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],21,Yes,No,0
RODRIGUEZ Samanta,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],30,Yes,No,0
INZUNZA Glenda,Female,Mexico,Mexico,['Artistic Swimming'],['Team'],24,No,No,0
SEHEN Sajjad,Male,Iraq,Iraq,['Judo'],['Men -81 kg'],28,No,No,0
RUBAIAWI Ali Ammar Yusur,Male,Iraq,Iraq,['Weightlifting'],"[""Men's +102kg""]",20,No,No,0
ISMAIL Mohamed,Male,Djibouti,Djibouti,['Athletics'],"[""Men's 5000m""]",27,Yes,No,0
HASSAN Ibrahim,Male,Djibouti,Djibouti,['Athletics'],"[""Men's Marathon""]",27,No,No,0
WAISS Abdi,Male,Djibouti,Djibouti,['Athletics'],"[""Men's 5000m""]",28,Yes,No,0
HASSAN NOUR Samiyah,Female,Djibouti,Djibouti,['Athletics'],"[""Women's 5000m""]",25,Yes,No,0
HOUSSEIN BARKAT Houmed,Male,Djibouti,Djibouti,['Swimming'],"[""Men's 50m Freestyle""]",20,No,No,0
BARAT Andy,Male,Comoros,Comoros,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",27,Yes,No,0
MARTINEZ RAMIREZ Miguel Angel,Male,Mexico,Mexico,['Boxing'],"[""Men's 63.5kg""]",23,No,No,0
VERDE ALVAREZ Marco Alonso,Male,Mexico,Mexico,['Boxing'],"[""Men's 71kg""]",22,Yes,Yes,1
GONZALEZ Alegna,Female,Mexico,Mexico,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",25,Yes,No,0
LOPEZ Jesus Tonatiu,Male,Mexico,Mexico,['Athletics'],"[""Men's 800m""]",27,Yes,No,0
PORTILLO Erick,Male,Mexico,Mexico,['Athletics'],"[""Men's High Jump""]",24,Yes,No,0
MUNOZ Uziel,Male,Mexico,Mexico,['Athletics'],"[""Men's Shot Put""]",29,Yes,No,0
del REAL Diego,Male,Mexico,Mexico,['Athletics'],"[""Men's Hammer Throw""]",30,Yes,No,0
DOCTOR Jose Luis,Male,Mexico,Mexico,['Athletics'],"[""Men's 20km Race Walk""]",28,Yes,No,0
MORAN Paola,Female,Mexico,Mexico,['Athletics'],"[""Women's 400m""]",27,Yes,No,0
GALVAN Laura,Female,Mexico,Mexico,['Athletics'],"[""Women's 5000m""]",33,Yes,No,0
CORTES Alma Delia,Female,Mexico,Mexico,['Athletics'],"[""Women's 5000m""]",27,Yes,No,0
CRISTIAN MOSCOTE Citlali,Female,Mexico,Mexico,['Athletics'],"[""Women's Marathon""]",29,Yes,No,0
PALMA OLIVARES Ever Jair,Male,Mexico,Mexico,['Athletics'],['Marathon Race Walk Relay Mixed'],32,Yes,No,0
OETLING RAMIREZ Elena,Female,Mexico,Mexico,['Sailing'],"[""Women's Dinghy""]",31,Yes,No,0
AGUILAR CHAVEZ PEON Mariana,Female,Mexico,Mexico,['Sailing'],"[""Women's Windsurfing""]",25,Yes,No,0
LECHUGA ALANIS Kenia,Female,Mexico,Mexico,['Rowing'],"[""Women's Single Sculls""]",30,No,No,0
LOPEZ GARCIA Alexis,Male,Mexico,Mexico,['Rowing'],"[""Lightweight Men's Double Sculls""]",27,No,No,0
CARBALLO NIETO Miguel,Male,Mexico,Mexico,['Rowing'],"[""Lightweight Men's Double Sculls""]",32,No,No,0
BLANCO Luisa,Female,Colombia,Colombia,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",23,Yes,No,0
WILLARS VALDEZ Randal,Male,Mexico,Mexico,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",22,Yes,No,0
BERLIN REYES Kevin,Male,Mexico,Mexico,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",23,No,No,0
OROZCO LOZA Alejandra,Female,Mexico,Mexico,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",27,No,No,0
AGUNDEZ GARCIA Gabriela,Female,Mexico,Mexico,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",24,No,No,0
OLVERA IBARRA Osmar,Male,Mexico,Mexico,['Diving'],"[""Men's 3m Springboard"", ""Men's Synchronised 3m Springboard""]",20,No,Yes,2
GARZA PEREZ Eugenio,Male,Mexico,Mexico,['Equestrian'],"['Jumping Individual', 'Jumping Team']",28,No,No,0
FERNANDEZ Federico,Male,Mexico,Mexico,['Equestrian'],"['Jumping Individual', 'Jumping Team']",56,No,No,0
de LARA OJEDA Miguel Alejandro,Male,Mexico,Mexico,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 200m Breaststroke""]",30,Yes,No,0
MORENO Alexa,Female,Mexico,Mexico,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",30,Yes,No,0
SANDOVAL Ahtziri,Female,Mexico,Mexico,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",28,Yes,No,0
FLORES Sofia,Female,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],20,Yes,No,0
SALAZAR Kimberly,Female,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],20,Yes,No,0
TEJEDA Adirem,Female,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],22,Yes,No,0
ALCOCER Dalia,Female,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],20,Yes,No,0
GUTIERREZ Julia,Female,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],17,Yes,No,0
HERNANDEZ Emiliano,Male,Mexico,Mexico,['Modern Pentathlon'],"[""Men's Individual""]",26,Yes,No,0
CARRILLO Duilio,Male,Mexico,Mexico,['Modern Pentathlon'],"[""Men's Individual""]",27,No,No,0
OLIVER Mayan,Female,Mexico,Mexico,['Modern Pentathlon'],"[""Women's Individual""]",31,Yes,No,0
SANSORES Carlos,Male,Mexico,Mexico,['Taekwondo'],['Men +80kg'],27,Yes,No,0
SOUZA Daniela Paola,Female,Mexico,Mexico,['Taekwondo'],['Women -49kg'],25,Yes,No,0
CLELAND QUINONEZ Alan,Male,Mexico,Mexico,['Surfing'],['Men'],22,Yes,No,0
GRIGORIAN Aram,Male,United Arab Emirates,United Arab Emirates,['Judo'],['Men -90 kg'],26,Yes,No,0
KOSTOEV Dzhafar,Male,United Arab Emirates,United Arab Emirates,['Judo'],['Men -100 kg'],25,Yes,No,0
MAGOMEDOMAROV Magomedomar,Male,United Arab Emirates,United Arab Emirates,['Judo'],['Men +100 kg'],23,Yes,No,0
TATALASHVILI Nugzari,Male,United Arab Emirates,United Arab Emirates,['Judo'],['Men -81 kg'],34,Yes,No,0
BISHRELT Khorloodoi,Female,United Arab Emirates,United Arab Emirates,['Judo'],['Women -52 kg'],26,Yes,No,0
HOUSSEIN Alexandre,Male,Djibouti,Djibouti,['Judo'],['Men -73 kg'],26,Yes,No,0
AL SAYEGH Safia,Female,United Arab Emirates,United Arab Emirates,['Cycling Road'],"[""Women's Road Race""]",23,No,No,0
VALENCIA Alejandra,Female,Mexico,Mexico,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",30,Yes,Yes,1
RUIZ Angela,Female,Mexico,Mexico,['Archery'],"[""Women's Individual"", ""Women's Team""]",18,Yes,Yes,1
GRANDE Matias,Male,Mexico,Mexico,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",20,Yes,No,0
PRIETO Marcela,Female,Mexico,Mexico,['Cycling Road'],"[""Women's Road Race""]",32,No,No,0
RAMIREZ RAMOS Edson Ismael,Male,Mexico,Mexico,['Shooting'],"['10m Air Rifle Men', '10m Air Rifle Mixed Team']",24,Yes,No,0
RODRIGUEZ Gabriela,Female,Mexico,Mexico,['Shooting'],['Skeet Women'],28,Yes,No,0
ZAVALA VAZQUEZ Alejandra,Female,Mexico,Mexico,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women']",40,Yes,No,0
QUEZADA MARQUEZ Carlos,Male,Mexico,Mexico,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men']",25,Yes,No,0
PENAFLOR MOYSEN Aram Michell,Male,Mexico,Mexico,['Triathlon'],"[""Men's Individual""]",25,Yes,No,0
REINOSO Sofia,Female,Mexico,Mexico,['Canoe Slalom'],"[""Women's Kayak Single"", ""Women's Kayak Cross""]",28,No,No,0
BRIONES FRAGOZA Beatriz,Female,Mexico,Mexico,['Canoe Sprint'],"[""Women's Kayak Single 500m"", ""Women's Kayak Double 500m""]",25,Yes,No,0
ALANIS MORALES Karina,Female,Mexico,Mexico,['Canoe Sprint'],"[""Women's Kayak Single 500m"", ""Women's Kayak Double 500m""]",31,No,No,0
LINARES Natalia,Female,Colombia,Colombia,['Athletics'],"[""Women's Long Jump""]",21,Yes,No,0
LONGA Ronal,Male,Colombia,Colombia,['Athletics'],"[""Men's 100m""]",20,Yes,No,0
RUIZ HURTADO Flor Denis,Female,Colombia,Colombia,['Athletics'],"[""Women's Javelin Throw""]",33,Yes,No,0
ORJUELA Angie,Female,Colombia,Colombia,['Athletics'],"[""Women's Marathon""]",35,Yes,No,0
RENTERIA RENTERIA Tatiana,Female,Colombia,Colombia,['Wrestling'],"[""Women's Freestyle 76kg""]",24,Yes,Yes,1
VALDES PANA Angie Paola,Female,Colombia,Colombia,['Boxing'],"[""Women's 60kg""]",24,No,No,0
ARBOLEDA MENDOZA Valeria,Female,Colombia,Colombia,['Boxing'],"[""Women's 57kg""]",22,No,No,0
BOLANOS LOPEZ Victor,Male,Colombia,Colombia,['Sailing'],"[""Men's Kite""]",30,Yes,No,0
ABDOLI Samyar,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Swimming'],"[""Men's 100m Freestyle""]",22,No,No,0
SIMWAKA Asimenye,Female,Malawi,Malawi,['Athletics'],"[""Women's 100m""]",27,Yes,No,0
AL MARZOOQI Omar Abdul Aziz,Male,United Arab Emirates,United Arab Emirates,['Equestrian'],"['Jumping Individual', 'Jumping Team']",21,Yes,No,0
SERRANO Franco,Male,Argentina,Argentina,['Modern Pentathlon'],"[""Men's Individual""]",24,No,No,0
KUMEL SAADI,Male,Iraq,Iraq,['Football'],['Men'],20,Yes,No,0
JOSEF AL IMAM,Male,Iraq,Iraq,['Football'],['Men'],20,Yes,No,0
MUNTADHER ABDULAMEER,Male,Iraq,Iraq,['Football'],['Men'],23,Yes,No,0
MUNTADHER MOHAMMED,Male,Iraq,Iraq,['Football'],['Men'],23,Yes,No,0
MAEDER Maximilian,Male,Singapore,Singapore,['Sailing'],"[""Men's Kite""]",18,Yes,Yes,1
LO Ryan,Male,Singapore,Singapore,['Sailing'],"[""Men's Dinghy""]",27,No,No,0
SIM En Yi Letitia,Female,Singapore,Singapore,['Swimming'],"[""Women's 100m Breaststroke"", ""Women's 200m Breaststroke"", ""Women's 4 x 100m Medley Relay""]",21,Yes,No,0
TAN Jonathan Eu Jin,Male,Singapore,Singapore,['Swimming'],"[""Men's 100m Freestyle"", ""Men's 50m Freestyle""]",22,Yes,No,0
PEREIRA Veronica Shanti,Female,Singapore,Singapore,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",28,Yes,No,0
ZAID TAHSEEN,Male,Iraq,Iraq,['Football'],['Men'],23,Yes,No,0
HUSSEIN AMER,Male,Iraq,Iraq,['Football'],['Men'],22,No,No,0
ANAK LISES Bertrand Rhodict,Male,Malaysia,Malaysia,['Diving'],"[""Men's 10m Platform""]",19,No,No,0
HUSSEIN LAWEND,Male,Iraq,Iraq,['Football'],['Men'],23,Yes,No,0
WONG Guanjie Johnathan,Male,Malaysia,Malaysia,['Shooting'],['10m Air Pistol Men'],32,Yes,No,0
MOHAMAD ZUBIR Nur Aisyah,Female,Malaysia,Malaysia,['Cycling Road'],"[""Women's Road Race""]",27,No,No,0
MOHAMAD LATIF Nur Shazrin,Female,Malaysia,Malaysia,['Sailing'],"[""Women's Dinghy""]",26,Yes,No,0
ALI JASIM,Male,Iraq,Iraq,['Football'],['Men'],20,Yes,No,0
KARRAR SAAD,Male,Iraq,Iraq,['Football'],['Men'],23,Yes,No,0
KARRAR MOHAMMED,Male,Iraq,Iraq,['Football'],['Men'],23,Yes,No,0
NIHAD MOHAMMED,Male,Iraq,Iraq,['Football'],['Men'],23,Yes,No,0
DOUA Camil,Male,Mauritania,Mauritania,['Swimming'],"[""Men's 50m Freestyle""]",22,Yes,No,0
CHEW Caroline,Female,Singapore,Singapore,['Equestrian'],['Dressage Individual'],32,Yes,No,0
HERNANDEZ FLORES Margarita,Female,Mexico,Mexico,['Athletics'],"[""Women's Marathon""]",39,Yes,No,0
SALIMI Arian,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Taekwondo'],['Men +80kg'],21,Yes,Yes,1
BARKHORDARI Mehran,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Taekwondo'],['Men -80kg'],24,No,Yes,1
NEMATZADEH Mobina,Female,Islamic Republic of Iran,Islamic Republic of Iran,['Taekwondo'],['Women -49kg'],19,Yes,Yes,1
KIYANICHANDEH Nahid,Female,Islamic Republic of Iran,Islamic Republic of Iran,['Taekwondo'],['Women -57kg'],26,Yes,Yes,1
MPALI Adam,Male,Gabon,Gabon,['Swimming'],"[""Men's 50m Freestyle""]",22,No,No,0
AMISON Naima-Zahra,Female,Djibouti,Djibouti,['Swimming'],"[""Women's 50m Freestyle""]",21,No,No,0
STREHLKE DELGADO Paulo,Male,Mexico,Mexico,['Marathon Swimming'],"[""Men's 10km""]",18,Yes,No,0
SANDOVAL AYALA Martha,Female,Mexico,Mexico,['Marathon Swimming'],"[""Women's 10km""]",26,Yes,No,0
ESTUDILLO TORRES Alejandra,Female,Mexico,Mexico,['Diving'],"[""Women's 3m Springboard""]",19,No,No,0
CELAYA HERNANDEZ Juan Manuel,Male,Mexico,Mexico,['Diving'],"[""Men's Synchronised 3m Springboard""]",26,No,Yes,1
VAZQUEZ MONTANO Aranza,Female,Mexico,Mexico,['Diving'],"[""Women's 3m Springboard""]",22,No,No,0
ALIPOUR SHENAZANDIFARD Reza,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Sport Climbing'],"[""Men's Speed""]",30,No,No,0
ALAMIAN Nima,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Table Tennis'],"[""Men's Singles""]",32,Yes,No,0
ALAMIYAN Noshad,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Table Tennis'],"[""Men's Singles""]",33,Yes,No,0
YASEEN Taha Hussein,Male,Iraq,Iraq,['Athletics'],"[""Men's 100m""]",26,Yes,No,0
MAAN Tulika,Female,India,India,['Judo'],['Women +78 kg'],26,Yes,No,0
ANCER Abraham,Male,Mexico,Mexico,['Golf'],"[""Men's Individual Stroke Play""]",33,No,No,0
SHARMA Shubhankar,Male,India,India,['Golf'],"[""Men's Individual Stroke Play""]",28,No,No,0
BHULLAR Gaganjeet,Male,India,India,['Golf'],"[""Men's Individual Stroke Play""]",36,No,No,0
GIRMA Ermias,Male,Ethiopia,Ethiopia,['Athletics'],"[""Men's 1500m""]",19,Yes,No,0
ROJAS Carlos,Male,Mexico,Mexico,['Archery'],"[""Men's Individual"", ""Men's Team""]",24,Yes,No,0
MARTINEZ WING Bruno,Male,Mexico,Mexico,['Archery'],"[""Men's Individual"", ""Men's Team""]",26,Yes,No,0
VAZQUEZ Ana,Female,Mexico,Mexico,['Archery'],"[""Women's Individual"", ""Women's Team""]",24,Yes,Yes,1
RIVERA Edgar,Male,Mexico,Mexico,['Athletics'],"[""Men's High Jump""]",33,Yes,No,0
TAMAYO-GARZA Cecilia,Female,Mexico,Mexico,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",27,Yes,No,0
ALEMU Habitam,Female,Ethiopia,Ethiopia,['Athletics'],"[""Women's 800m""]",27,Yes,No,0
MESELE Worknesh,Female,Ethiopia,Ethiopia,['Athletics'],"[""Women's 800m""]",23,Yes,No,0
DUGUMA Tsige,Female,Ethiopia,Ethiopia,['Athletics'],"[""Women's 800m""]",23,Yes,Yes,1
ASHOK Aditi,Female,India,India,['Golf'],"[""Women's Individual Stroke Play""]",26,No,No,0
DAGAR Diksha,Female,India,India,['Golf'],"[""Women's Individual Stroke Play""]",24,No,No,0
FAYISA Abdisa,Male,Ethiopia,Ethiopia,['Athletics'],"[""Men's 1500m""]",19,Yes,No,0
GUERRERO Ilse,Female,Mexico,Mexico,['Athletics'],"[""Women's 20km Race Walk""]",31,Yes,No,0
CHAMA Noel,Male,Mexico,Mexico,['Athletics'],"[""Men's 20km Race Walk""]",27,Yes,No,0
ORTIZ Ricardo,Male,Mexico,Mexico,['Athletics'],"[""Men's 20km Race Walk""]",29,Yes,No,0
SHAHSAVARI Neda,Female,Islamic Republic of Iran,Islamic Republic of Iran,['Table Tennis'],"[""Women's Singles""]",38,No,No,0
FALLAH Mobina,Female,Islamic Republic of Iran,Islamic Republic of Iran,['Archery'],"[""Women's Individual""]",25,No,No,0
LOH Kean Yew,Male,Singapore,Singapore,['Badminton'],"[""Men's Singles""]",27,Yes,No,0
HEE Yong Kai Terry,Male,Singapore,Singapore,['Badminton'],['Mixed Doubles'],29,No,No,0
TAN Wei Han Jessica,Female,Singapore,Singapore,['Badminton'],['Mixed Doubles'],31,No,No,0
YEO Jia Min,Female,Singapore,Singapore,['Badminton'],"[""Women's Singles""]",25,Yes,No,0
LABIB Ali,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Cycling Road'],"[""Men's Road Race""]",22,No,No,0
FASIHI Farzaneh,Female,Islamic Republic of Iran,Islamic Republic of Iran,['Athletics'],"[""Women's 100m""]",31,Yes,No,0
TAFTIAN Hassan,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Athletics'],"[""Men's 100m""]",31,Yes,No,0
PANWAR Balraj,Male,India,India,['Rowing'],"[""Men's Single Sculls""]",25,Yes,No,0
RICKETTS Shanieka,Female,Jamaica,Jamaica,['Athletics'],"[""Women's Triple Jump""]",32,Yes,Yes,1
HARRIS Naquille,Male,Saint Kitts and Nevis,Saint Kitts and Nevis,['Athletics'],"[""Men's 100m""]",22,No,No,0
DAVOUDI Ali,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Weightlifting'],"[""Men's +102kg""]",25,Yes,No,0
JAVADI ALIABADI Mir Mostafa,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Weightlifting'],"[""Men's 89kg""]",24,No,No,0
WELTEJI Diribe,Female,Ethiopia,Ethiopia,['Athletics'],"[""Women's 1500m""]",22,Yes,No,0
HAYLOM Birke,Female,Ethiopia,Ethiopia,['Athletics'],"[""Women's 1500m""]",18,Yes,No,0
HAILU Freweyni,Female,Ethiopia,Ethiopia,['Athletics'],"[""Women's 5000m""]",23,Yes,No,0
AGHAMIRZAEIJENAGHARD Ali,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Canoe Sprint'],"[""Men's Kayak Single 1000m""]",31,Yes,No,0
MAYALA Freddy,Male,Congo,Congo,['Swimming'],"[""Men's 50m Freestyle""]",24,Yes,No,0
AREGAWI Berihu,Male,Ethiopia,Ethiopia,['Athletics'],"[""Men's 10,000m""]",23,Yes,Yes,1
KEJELCHA Yomif,Male,Ethiopia,Ethiopia,['Athletics'],"[""Men's 10,000m""]",27,Yes,No,0
GEBRHIWET Hagos,Male,Ethiopia,Ethiopia,['Athletics'],"[""Men's 5000m""]",30,Yes,No,0
BOBIMBO Vanessa,Female,Congo,Congo,['Swimming'],"[""Women's 50m Freestyle""]",25,No,No,0
NGOYE Natacha,Female,Congo,Congo,['Athletics'],"[""Women's 100m""]",31,Yes,No,0
SAIKHOM Mirabai Chanu,Female,India,India,['Weightlifting'],"[""Women's 49kg""]",30,Yes,No,0
BAREGA Selemon,Male,Ethiopia,Ethiopia,['Athletics'],"[""Men's 10,000m""]",24,Yes,No,0
TEFERA Samuel,Male,Ethiopia,Ethiopia,['Athletics'],"[""Men's 1500m""]",25,Yes,No,0
YIHUNE Addisu,Male,Ethiopia,Ethiopia,['Athletics'],"[""Men's 5000m""]",21,Yes,No,0
MEHARY Biniam,Male,Ethiopia,Ethiopia,['Athletics'],"[""Men's 5000m""]",18,Yes,No,0
TAYE Ejgayehu,Female,Ethiopia,Ethiopia,['Athletics'],"[""Women's 5000m""]",24,Yes,No,0
EISA Medina,Female,Ethiopia,Ethiopia,['Athletics'],"[""Women's 5000m""]",19,Yes,No,0
GEBRESELAMA Tsigie,Female,Ethiopia,Ethiopia,['Athletics'],"[""Women's 10,000m""]",24,Yes,No,0
ZENG Jian,Female,Singapore,Singapore,['Table Tennis'],"[""Women's Singles""]",28,No,No,0
QUEK Izaac,Male,Singapore,Singapore,['Table Tennis'],"[""Men's Singles""]",18,No,No,0
VEGA Jerome,Male,Puerto Rico,United States of America,['Athletics'],"[""Men's Hammer Throw""]",29,No,No,0
OWENS-DELERME Ayden,Male,Puerto Rico,United States of America,['Athletics'],"[""Men's Decathlon""]",24,Yes,No,0
de ORBETA Rachelle,Female,Puerto Rico,United States of America,['Athletics'],"[""Women's 20km Race Walk""]",24,Yes,No,0
SCOTT Gabby,Female,Puerto Rico,United States of America,['Athletics'],"[""Women's 400m""]",27,Yes,No,0
D'AMOUR Nicholas,Male,"Virgin Islands, US",United States of America,['Archery'],"[""Men's Individual""]",23,Yes,No,0
CASTRO RIVERA Luis,Male,Puerto Rico,United States of America,['Athletics'],"[""Men's High Jump""]",33,Yes,No,0
CEBALLOS Macarena,Female,Argentina,Argentina,['Swimming'],"[""Women's 100m Breaststroke"", ""Women's 200m Breaststroke""]",29,Yes,No,0
CAMACHO-QUINN Jasmine,Female,Puerto Rico,United States of America,['Athletics'],"[""Women's 100m Hurdles""]",28,Yes,Yes,1
CHEVRIER Luc,Male,Saint Lucia,Saint Lucia,['Sailing'],"[""Men's Dinghy""]",25,No,No,0
FERNANDEZ GAMBOA Pedro Luis,Male,Puerto Rico,United States of America,['Sailing'],"[""Men's Dinghy""]",27,Yes,No,0
RIVERA Sebastian C,Male,Puerto Rico,United States of America,['Wrestling'],"[""Men's Freestyle 65kg""]",26,No,Yes,1
LOZADA MOTTA Ashleyann,Female,Puerto Rico,United States of America,['Boxing'],"[""Women's 57kg""]",33,Yes,No,0
PULIDO ORTIZ Celia,Female,Mexico,Mexico,['Swimming'],"[""Women's 100m Backstroke""]",21,No,No,0
HYDE Jaheel,Male,Jamaica,Jamaica,['Athletics'],"[""Men's 400m Hurdles""]",27,Yes,No,0
IGA Jorge,Male,Mexico,Mexico,['Swimming'],"[""Men's 100m Freestyle"", ""Men's 200m Freestyle""]",27,No,No,0
HEIN Agostina,Female,Argentina,Argentina,['Swimming'],"[""Women's 400m Freestyle"", ""Women's 800m Freestyle""]",16,Yes,No,0
SASSER Mathlynn,Female,Marshall Islands,Marshall Islands,['Weightlifting'],"[""Women's 59kg""]",28,Yes,No,0
HEPLER Kayla,Female,Marshall Islands,Marshall Islands,['Swimming'],"[""Women's 50m Freestyle""]",22,No,No,0
KINONO Philli,Male,Marshall Islands,Marshall Islands,['Swimming'],"[""Men's 50m Freestyle""]",27,No,No,0
GARRIDO Luis Ramon,Male,Mexico,Mexico,['Badminton'],"[""Men's Singles""]",28,No,No,0
MARTINEZ Paulina,Female,Mexico,Mexico,['Judo'],['Women -52 kg'],25,No,No,0
AWITI ALCARAZ Prisca,Female,Mexico,Mexico,['Judo'],['Women -63 kg'],28,No,Yes,1
REZAEI Mohammad Nabi,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Canoe Sprint'],"[""Men's Canoe Single 1000m""]",25,Yes,No,0
MUSTAFA SAADOON,Male,Iraq,Iraq,['Football'],['Men'],23,Yes,No,0
ALFRED Julien,Female,Saint Lucia,Saint Lucia,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",23,Yes,Yes,2
JOSEPH Michael,Male,Saint Lucia,Saint Lucia,['Athletics'],"[""Men's 400m""]",22,Yes,No,0
YOUSSEF AMYN,Male,Iraq,Iraq,['Football'],['Men'],21,Yes,No,0
TSEGAY Gudaf,Female,Ethiopia,Ethiopia,['Athletics'],"[""Women's 10,000m"", ""Women's 1500m"", ""Women's 5000m""]",27,Yes,No,0
ALSADEQ Julyana,Female,Jordan,Jordan,['Taekwondo'],['Women -67kg'],30,Yes,No,0
TESFAY Fotyen,Female,Ethiopia,Ethiopia,['Athletics'],"[""Women's 10,000m""]",26,Yes,No,0
MOJALLALTOPRAGHGHALE Fatemeh,Female,Islamic Republic of Iran,Islamic Republic of Iran,['Rowing'],"[""Women's Single Sculls""]",22,No,No,0
ELSHARABATY Saleh,Male,Jordan,Jordan,['Taekwondo'],['Men -80kg'],26,Yes,No,0
AL KHATRI Said,Male,Oman,Oman,['Shooting'],['Trap Men'],39,Yes,No,0
AL ADAWI Issa Samir Hamed,Male,Oman,Oman,['Swimming'],"[""Men's 100m Freestyle""]",25,No,No,0
KAREEM Zaid,Male,Jordan,Jordan,['Taekwondo'],['Men -68kg'],23,Yes,Yes,1
SARAVANAN Vishnu,Male,India,India,['Sailing'],"[""Men's Dinghy""]",25,Yes,No,0
